-4.9291	-1.6547	1.0382	1.1977	1.7882	1.2618	1.9971	2.1662	-1.1082	-0.40566	-0.032661	-1.1237	-0.94377	-2.3602	-1.4042	-2.5688	-4.2066
-0.79378	-1.4025	1.6997	1.108	1.1625	0.52104	2.0959	0.50383	0.30804	-1.6194	0.68783	-0.56094	-0.43653	-1.5844	-3.6718	-2.6602	-7.686
-2.3805	3.2435	-0.34342	-0.065651	3.1832	2.4727	0.36944	1.3785	0.02286	-0.3689	-2.3139	-1.7445	-1.801	-0.44302	-0.015276	0.62251	-7.8752
1.1291	2.1024	0.14899	-0.47541	0.65281	3.4545	1.1228	-0.01451	-0.69936	0.88192	0.27222	-0.67978	-2.9467	-0.26854	-1.6498	-3.7582	-5.9823
-0.26129	-1.3722	1.5782	0.94732	1.9194	0.27973	1.3248	1.398	0.30107	-0.13384	-1.1615	-0.092741	-1.1267	-2.5467	-2.113	-0.89924	-8.6329
-0.42169	0.74103	1.0302	1.3492	0.8382	2.976	0.57459	1.992	-0.46266	-0.33591	-0.29118	-0.9103	-1.5258	-2.5307	-1.2994	-4.455	-5.9779
1.4275	1.7504	0.38105	2.7511	0.013511	1.877	1.7195	-0.1743	-0.49269	0.014642	0.026182	-2.9664	0.81469	0.31727	-3.2739	-2.3896	-7.353
-1.5714	0.22734	1.9475	2.8433	1.1596	0.67662	3.0264	1.0655	-1.3554	-0.0030368	-0.96975	-1.0594	-0.10895	-1.0957	-2.6365	-4.3529	-6.3908
0.19445	-0.10288	3.0543	1.3466	0.83693	1.859	2.3455	2.1879	-0.85317	-0.038282	-2.4249	0.3111	-1.6635	-1.7565	-2.9789	-2.8358	-6.1257
0.46361	-0.32983	4.6788	-1.5826	0.34229	1.6848	-0.097861	1.7093	-0.081729	0.65005	-0.75235	-0.15228	-0.46789	-1.8502	-3.4838	-5.2556	-1.3095
-1.7959	3.0218	1.0564	-0.87047	3.0771	-0.73327	1.8883	1.0267	-0.73442	-0.10754	0.1733	0.37434	-2.5858	-1.4723	-0.71872	-1.9636	-9.875
-2.8937	5.2893	-0.15499	-1.9316	2.249	0.66755	0.74842	-0.052532	1.3678	-1.2502	0.13998	0.22023	-1.6154	2.3909	-5.0621	-2.4907	-9.475
-0.48825	-0.14943	0.04022	0.81977	1.1473	2.3913	3.0581	0.61095	1.4217	-1.5744	-1.3131	-1.299	-0.4497	-2.4319	-2.068	-3.272	-5.6437
-0.51268	0.50076	-1.577	2.1969	1.9347	1.3271	2.2214	0.45413	0.60387	1.4894	-1.4706	-1.7048	-2.6786	-0.84235	-3.1252	-3.7159	-6.5762
0.14562	0.77863	1.8613	-0.0099248	-0.15492	1.9709	3.1634	-0.56814	1.183	-0.77086	-0.77281	-2.8177	0.89386	-2.6582	-2.3316	-1.1102	-3.8909
2.6916	-1.1905	1.2016	1.3145	1.1396	1.9417	-0.28189	1.0057	0.023897	0.59594	-0.92036	-1.9905	-0.1875	-0.14357	-2.1305	-5.3753	-4.7242
2.5492	1.5266	2.5192	1.0324	1.0153	2.642	0.72311	0.22321	-1.1938	1.1816	-0.41076	-2.4986	-2.0218	0.78328	-1.9003	-2.8727	-5.8765
2.8133	1.4511	-0.63905	2.9546	0.45556	1.565	-0.31401	2.1511	0.29072	-0.82096	-1.6127	-1.1586	0.4507	-1.9279	-1.4399	-2.0941	-5.5747
-0.34657	1.4555	3.3482	-0.81071	2.4114	0.63182	0.50344	1.2827	-0.34979	-1.2522	-0.15433	-0.085667	-1.0727	-0.20133	-0.25436	-5.7802	-6.3793
-1.374	1.4053	-0.41278	1.5362	0.65394	1.8208	1.64	1.3069	-0.74021	0.56657	-1.8644	-0.97146	-0.71851	-1.3361	-1.1715	-3.0216	-4.1822
5.8775	0.97667	0.77751	0.031225	1.4082	0.4849	-0.58898	0.67298	-0.53697	0.079816	-0.47539	-0.21	0.95241	-0.010434	-1.9441	-2.973	-10.897
-0.15954	0.88543	1.4547	2.62	-0.082962	1.2243	0.70528	1.3404	0.22517	0.35234	-0.59743	-1.323	0.039676	-3.208	-2.0513	-2.0736	-9.4265
3.8551	2.5719	1.5766	-1.5193	0.32343	2.5273	1.2912	1.8396	-0.77921	0.19259	0.46046	-1.0817	-3.1452	-1.4568	-1.0724	-4.2084	-7.0537
2.6564	0.34971	-0.34917	-0.20801	1.3218	1.1017	1.3108	1.4366	0.57747	-0.27482	-0.17132	-2.146	-1.1088	-2.2561	-0.61937	-0.72484	-4.6827
1.7847	-0.50486	0.64097	1.7671	0.11568	2.2682	0.6127	0.94645	-0.6912	1.6192	-1.6741	0.54951	-3.3019	-1.1885	-0.75972	-0.37252	-9.7275
2.1591	2.1523	1.0569	2.4688	-0.31126	1.4454	1.3272	1.0569	-0.89415	-0.24693	0.71307	-0.82786	-2.1247	-2.0948	-1.4907	-2.327	-4.5117
