NaN	NaN	NaN	-33.005	-1.4407	105.23	-23.651	20.601	-14.219	10.726	-65.331	-73.81	-0.66667	-15.121	-74.337	-32.329	NaN
-39.176	NaN	868.97	-140.09	105.36	-62.376	-66.043	-22.921	1.9401	-96.831	-35.627	-15.826	13.544	100.78	-13.847	-150.85	-166.22
6463.5	NaN	-385.2	1102.4	-26.371	440.68	166.47	109.09	-60.384	-7.8437	-69.991	17.593	NaN	NaN	-26.714	NaN	310.98
NaN	NaN	NaN	2266.6	-59.023	94.367	373.22	118.81	-147.29	-2.8155	196.1	-323.13	646.49	2043	-579.03	NaN	NaN
NaN	1973.7	-19.275	197.13	-51.913	331.41	129.92	27.567	-45.674	-58.139	-105.14	55.148	-69.717	-21.541	95.154	NaN	NaN
-694.94	NaN	46.612	871.23	7.7287	67.074	31.548	30.743	-16.621	-37.422	-66.802	-20.683	291.24	-54.459	-4.4958	196.9	196.5
NaN	5511.6	14	1707.9	-1015.1	1627.7	801.54	-188.68	-308.68	-173.53	-1.4348	-93.926	-64.569	-356.54	87.282	NaN	378.05
NaN	NaN	-232.24	271.96	48.078	65.36	55.466	-6.4615	-101.31	-11.968	-27.395	28.336	31.84	131.39	-82.075	-113.73	544.41
NaN	NaN	NaN	1099.6	150.06	714.83	13.453	-116.26	-17.491	-44.543	-89.882	-120.69	-85.463	-92.921	62.487	NaN	NaN
NaN	NaN	NaN	4062.5	968.61	1557.3	400.5	111.61	-108.72	-193.02	-366.54	7.9627	-244.93	52.568	210.07	NaN	-193.93
-371.34	NaN	-9.8625	257.58	33.383	232.7	3.5236	16.383	-26.08	-46.509	-28.06	-1.3932	-12.943	0.36389	38.46	-49.688	NaN
NaN	NaN	NaN	225.5	-44.055	88.904	-17.537	6.3336	13.948	-16.891	-50.216	-97.221	-129.05	57.589	-153.58	NaN	-127.81
NaN	NaN	NaN	-141.77	421.14	45.631	41.591	10.628	-3.2384	-23.866	-6.7236	12.852	-174.86	-194.95	NaN	NaN	NaN
NaN	616.38	-44.887	-71.535	18.369	54.197	-43.986	-37.003	-22.941	-5.8795	9.7721	-47.528	-22.953	-40.445	123.68	-172.2	NaN
NaN	NaN	NaN	2926	619.88	62.161	123.79	153.23	-43.676	-103.71	-142.38	-215.15	-64.761	1915.2	-210.97	NaN	NaN
NaN	NaN	NaN	-151.77	296.73	149.52	-55.343	112.8	-32.189	-54.34	-83.536	3.8301	-13.328	231.8	27.342	787.67	NaN
NaN	NaN	NaN	NaN	469.59	104.31	261.43	55.503	-87.723	22.841	-31.96	-124.08	-116.45	NaN	196.17	NaN	NaN
NaN	NaN	951.9	355.9	429.06	639.83	55.439	180.82	-57.098	-206.45	151.97	-76.982	-263.12	2510.7	73.038	NaN	NaN
NaN	NaN	965.66	390.96	535.56	128.85	61.012	76.166	-26.414	-66.626	-78.057	-150.32	-54.102	-165.9	21.846	-250.11	NaN
NaN	NaN	146.49	2389.8	2243.7	248.61	99.162	389.54	-105.68	35.365	-112.08	-212.2	-14.507	288.89	NaN	NaN	NaN
NaN	NaN	NaN	-49.625	3.3917	-4.9521	-2.0758	20.163	-2.1381	-34.847	2.5283	34.872	-200.91	NaN	NaN	NaN	NaN
NaN	6200.4	NaN	-94.325	-53.554	134.36	42.756	24.579	-31.978	-41.597	-46.002	-96.057	-66.547	163.9	-94.419	NaN	NaN
37.462	330.46	125.49	36.674	-79.855	-28.598	26.662	15.623	-5.9948	-27.965	-31.724	-26.643	-10.25	111.69	-69.817	-53.896	NaN
2755	184.05	-264.65	-355.66	203.61	437.86	290.93	31.725	-24.433	-85.903	-68.878	-193.68	-246.54	NaN	-74.812	NaN	NaN
NaN	1334.1	272.47	-147.27	143.69	63.597	0.44703	-13.376	5.0879	-34.992	-7.5554	-70.658	-123.16	-54.191	-172.49	NaN	NaN
7852.8	NaN	NaN	1670.6	1633.6	1727.9	83.588	225.45	-180.67	157.18	-73.371	-327.97	-427.37	-813	NaN	NaN	NaN
