0.5143	0.3286	0.1857	0.2857	0.2143	0.2714	0.3000	0.2571	0.5429
0.6571	0.5571	0.5571	0.4286	0.3286	0.2286	0.2000	0.2714	0.3143
0.7857	0.7143	0.6286	0.6286	0.6429	0.5000	0.4714	0.4143	0.5429
0.8286	0.7714	0.5143	0.4714	0.2857	0.4143	0.3000	0.4000	0.3714
0.6875	0.4625	0.4625	0.3500	0.3625	0.2875	0.3875	0.2750	0.5750
0.6000	0.6000	0.5750	0.3875	0.3875	0.3625	0.2500	0.3000	0.3250
0.5250	0.4375	0.3750	0.4750	0.3625	0.3625	0.3875	0.3250	0.4625
0.6000	0.5250	0.3375	0.3000	0.2750	0.1875	0.2500	0.3125	0.5000
0.6625	0.5125	0.5750	0.3500	0.3250	0.3750	0.3625	0.4125	0.4625
0.5625	0.4250	0.4250	0.1875	0.1500	0.1875	0.4000	0.3000	0.5500
0.8375	0.6625	0.5375	0.3625	0.2625	0.3000	0.2500	0.3125	0.3125
0.5250	0.4875	0.4250	0.3000	0.2375	0.2750	0.2750	0.2625	0.4500
0.9000	0.8750	0.8500	0.8375	0.5875	0.5250	0.3125	0.3125	0.3625
0.6875	0.5625	0.2375	0.2500	0.2000	0.2000	0.1875	0.2500	0.3750
0.6500	0.4750	0.5375	0.4125	0.3625	0.2625	0.2750	0.2750	0.4875
0.8375	0.7500	0.5250	0.4625	0.2750	0.2750	0.2750	0.3000	0.3500
0.8500	0.7750	0.7500	0.7625	0.6875	0.6375	0.6125	0.5750	0.7250
0.8375	0.6375	0.5625	0.4375	0.3250	0.2625	0.4250	0.4500	0.8375
0.6125	0.6125	0.5750	0.5750	0.4625	0.3875	0.4000	0.4375	0.4500
0.7875	0.7500	0.7125	0.6125	0.5750	0.5250	0.5000	0.5000	0.5250
0.8875	0.7750	0.7250	0.7125	0.5875	0.5250	0.4625	0.5250	0.6875
0.6500	0.6250	0.6250	0.4875	0.4750	0.4500	0.3750	0.3375	0.3875
0.5000	0.3750	0.2875	0.1875	0.1875	0.1500	0.2000	0.1625	0.3875
0.6500	0.5875	0.6000	0.6375	0.5625	0.4125	0.3250	0.4125	0.5625
0.7000	0.5625	0.4375	0.3000	0.2750	0.2125	0.1875	0.2875	0.6000
0.7625	0.7125	0.6875	0.6375	0.5500	0.4375	0.4500	0.4000	0.5375
